Date,BA,JNJ,JPM,NVDA,PG,WMT,XOM,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2022-12-27,189.5800018310547,162.58285437478995,122.19518791040136,15.059764142824474,141.56201580906043,46.38313922132805,98.5597798545888,129.42743066905106,84.97000122070312,88.19173478905765,117.20745682838697,233.1262097908691,117.5
2022-12-28,189.32000732421875,162.26335870130708,122.45525351794969,13.913845969988316,143.026778363279,46.19958978976645,99.13705254429654,127.74284988936154,82.80000305175781,86.38420938152522,115.53773546153975,231.35848211045436,110.3499984741211
2022-12-29,189.0,162.07168733336263,123.45826331063586,14.388400107362054,141.6640067793456,45.771315158215,97.4052433295503,126.08780488461107,82.87000274658203,86.02667984815822,115.68682742518187,230.14740695846007,120.38999938964844
2022-12-30,187.5,162.01690371302487,123.34683840838562,14.320462493891805,141.31171018121643,45.58455028085905,97.96446800496982,126.5015786711118,83.12000274658203,86.38421070576915,117.43604796395763,232.64764099629804,119.9499969482422
2023-01-03,192.9499969482422,160.80286985435822,125.60366195786725,14.836973349478152,139.9396634214629,45.903336392308894,99.0197891267736,128.34378035287284,85.45999908447266,88.97632624935527,122.06748881300229,237.4039449987011,118.47000122070312
2023-01-04,195.17999267578125,163.29485264743158,126.3002573433606,14.553241965260252,140.90384218739834,46.18349725207916,94.52792517250752,125.00417001301612,86.55000305175781,89.73110905085134,126.59954813929444,226.8560729685779,109.11000061035156
2023-01-05,201.72000122070312,163.4135143576032,126.92442762151327,14.477313204439954,141.10774123782917,46.19637800609566,95.91695730838411,125.24058317585433,85.33000183105469,86.8708478238016,125.35721196250984,221.89472640541456,110.51000213623048
2023-01-06,205.3000030517578,164.42678163497197,127.36414087714115,14.460329337176836,140.7740175074789,46.56347543403763,99.29038382399268,124.13722458745222,83.02999877929688,86.19549412333996,128.17980371624262,217.7928082549556,103.0
2023-01-09,212.3600006103516,163.6690928663622,129.6750831540953,15.26956527336169,142.248056993449,47.11734163103257,100.69749099573508,128.53096489801374,87.45999908447266,87.75474345560666,130.3564058607352,221.1622360976978,118.95999908447266
2023-01-10,203.8999938964844,160.38294804415483,128.9172260142487,15.492354496985383,141.005815510847,46.67294948040541,99.02881690782613,128.32406282244906,87.56999969482422,85.3910499346821,126.49022335284872,222.4416360207006,121.06999969482422
2023-01-11,209.8699951171875,160.26427979045746,129.95579064025085,15.825039338857811,141.20976011535365,46.93057268129719,100.11119829327444,129.29937353694692,90.93000030517578,88.56912181311864,130.1576226778225,225.8892181686805,122.08999633789062
