Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA,BA,JNJ,JPM,NVDA,PG,WMT,XOM
2023-01-06,127.69356536865234,86.08000183105469,86.7417221069336,129.22337341308594,219.677734375,113.05999755859376,213.0,164.53631591796875,129.05758666992188,14.844965934753418,142.69302368164062,47.26546859741211,99.69627380371094
2023-01-09,128.21571350097656,87.36000061035156,87.41706848144531,128.6767578125,221.81658935546875,119.7699966430664,208.57000732421875,160.2733917236328,128.52427673339844,15.613240242004396,140.95016479492188,46.676177978515625,97.83820343017578
2023-01-10,128.78707885742188,89.87000274658203,87.8143310546875,132.17518615722656,223.50619506835935,118.8499984741211,206.69000244140625,159.89002990722656,129.67507934570312,15.893975257873535,140.81112670898438,46.64719009399414,99.29940795898438
2023-01-11,131.50608825683594,95.08999633789062,90.8930892944336,132.07579040527344,230.26461791992188,123.22000122070312,208.02999877929688,159.63442993164062,130.6387939453125,15.985886573791504,139.67083740234375,47.056156158447266,100.4539566040039
2023-01-12,131.42726135253906,95.2699966430664,90.50576782226562,135.8723907470703,232.9406280517578,123.55999755859376,214.32000732421875,158.8311767578125,130.50778198242188,16.495405197143555,138.88282775878906,46.63109588623047,102.12262725830078
2023-01-13,132.75718688964844,98.12000274658205,91.4889907836914,136.14071655273438,233.64382934570312,122.4000015258789,214.1300048828125,158.3108367919922,133.8011016845703,16.883039474487305,139.8748016357422,46.78565979003906,102.05948638916016
2023-01-17,133.91964721679688,96.0500030517578,90.6646728515625,134.53065490722656,234.7376708984375,131.49000549316406,211.41000366210935,157.33413696289062,131.73342895507812,17.685285568237305,139.4668731689453,46.50229263305664,101.86103057861328
2023-01-18,133.2005157470703,95.45999908447266,90.495849609375,132.20498657226562,230.30368041992188,128.77999877929688,209.41000366210935,154.96075439453125,127.7758331298828,17.3605899810791,135.7308349609375,45.35269546508789,99.76844787597656
2023-01-19,133.2596435546875,93.68000030517578,92.41262817382812,135.31581115722656,226.51429748535156,127.16999816894533,207.08999633789065,154.75083923339844,126.07301330566406,16.74916648864746,132.86036682128906,44.7054328918457,100.40884399414062
2023-01-20,135.8209686279297,97.25,97.34857940673828,138.51608276367188,234.6107177734375,133.4199981689453,206.7599945068359,154.02969360351562,126.38175964355467,17.82215118408203,133.37342834472656,45.25608825683594,102.23987579345705
2023-01-23,139.01280212402344,97.5199966430664,99.10646057128906,142.39219665527344,236.91558837890625,143.75,209.97000122070312,153.63717651367188,128.4307403564453,19.17487335205078,131.5823211669922,45.932315826416016,101.70770263671876
2023-01-24,140.41172790527344,96.31999969482422,97.03076934814452,142.2629852294922,236.38821411132812,143.88999938964844,211.97999572753903,153.63717651367188,129.5347442626953,19.246809005737305,132.30059814453125,46.054683685302734,102.65480041503906
2023-01-25,139.75167846679688,97.18000030517578,94.5677490234375,140.63304138183594,234.9916076660156,144.42999267578125,212.67999267578125,154.7325897216797,130.16159057617188,19.304752349853516,132.20736694335938,45.83571243286133,102.11361694335938
2023-01-26,141.8204803466797,99.22000122070312,96.8520050048828,146.39752197265625,242.20904541015625,160.27000427246094,212.72999572753903,154.16661071777344,130.96624755859375,19.78329849243164,131.67562866210938,45.793853759765625,106.21762084960938
2023-01-27,143.76116943359375,102.23999786376952,98.6893310546875,150.81028747558594,242.3653106689453,177.89999389648438,211.1699981689453,153.56417846679688,131.28433227539062,20.345766067504883,131.13455200195312,46.14485549926758,104.27835845947266
2023-01-30,140.87472534179688,100.5500030517578,96.27597045898438,146.1589813232422,237.0425567626953,166.66000366210938,209.6699981689453,147.87730407714844,130.1709747314453,19.143903732299805,131.5449981689453,45.774532318115234,102.42928314208984
